WARNING: Found unrecognized keyword args. These are ignored.
  --gamma1
Dataset Summary:
X Data
  total size: 5000 units
  batch size: 1000 units
  num. batches: 5
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = randexamples
  K = 1 (number of clusters)
  seed = 1607680
  elapsed_time: 0.0 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
    0.200/300 after      0 sec. |   1225.2 MiB | K    1 | loss  2.857691383e+00 |  
    0.400/300 after      0 sec. |   1225.2 MiB | K    1 | loss  2.824766397e+00 |  
    0.600/300 after      0 sec. |   1225.2 MiB | K    1 | loss  2.814934617e+00 |  
    1.000/300 after      0 sec. |   1225.2 MiB | K    1 | loss  2.806368189e+00 |  
    2.000/300 after      0 sec. |   1226.3 MiB | K    5 | loss  2.248548285e+00 | Ndiff  896.573 
    3.000/300 after      0 sec. |   1227.3 MiB | K   14 | loss  2.048102445e+00 | Ndiff  896.573 
    4.000/300 after      1 sec. |   1228.0 MiB | K   16 | loss  2.006241654e+00 | Ndiff   26.941 
    5.000/300 after      1 sec. |   1228.0 MiB | K   13 | loss  1.994929353e+00 | Ndiff   25.637 
    6.000/300 after      1 sec. |   1228.0 MiB | K   12 | loss  1.984793481e+00 | Ndiff   13.658 
    7.000/300 after      1 sec. |   1228.0 MiB | K   12 | loss  1.980349641e+00 | Ndiff    7.980 
    8.000/300 after      1 sec. |   1228.0 MiB | K   12 | loss  1.978444277e+00 | Ndiff    3.920 
    9.000/300 after      1 sec. |   1228.0 MiB | K   12 | loss  1.977864744e+00 | Ndiff    2.294 
   10.000/300 after      1 sec. |   1228.0 MiB | K   12 | loss  1.977672528e+00 | Ndiff    0.661 
   11.000/300 after      2 sec. |   1228.0 MiB | K   12 | loss  1.977608895e+00 | Ndiff    0.874 
   12.000/300 after      2 sec. |   1228.0 MiB | K   12 | loss  1.977556097e+00 | Ndiff    0.681 
   13.000/300 after      2 sec. |   1228.0 MiB | K   12 | loss  1.977510463e+00 | Ndiff    0.766 
   14.000/300 after      2 sec. |   1228.0 MiB | K   12 | loss  1.977483927e+00 | Ndiff    0.519 
   15.000/300 after      2 sec. |   1228.0 MiB | K   12 | loss  1.977468602e+00 | Ndiff    0.382 
   16.000/300 after      2 sec. |   1228.0 MiB | K   12 | loss  1.977454632e+00 | Ndiff    0.450 
   17.000/300 after      2 sec. |   1228.0 MiB | K   12 | loss  1.977424831e+00 | Ndiff    0.613 
   18.000/300 after      2 sec. |   1228.0 MiB | K   12 | loss  1.977342926e+00 | Ndiff    1.017 
   19.000/300 after      2 sec. |   1228.0 MiB | K   12 | loss  1.977196744e+00 | Ndiff    1.051 
   20.000/300 after      2 sec. |   1228.0 MiB | K   12 | loss  1.977071565e+00 | Ndiff    0.905 
